Label	Question	Meta	Answer	URL	View	Category	Subcategory	Subcat 1	Subcat 2	Subcat 3	Subcat 4	Subcat 5	Subcat 6	Subcat 7	Subcat 8	Subcat 9	Last Edited	Editing User
za164	Which terminal will I be flying from?		"This depends on which airline you're flying with. You can check the flight with the airline direct or get in touch with us and we'll check for you. If you already have a booking with us, your terminal will be on the documents we've sent you."		ZAWEB;ZAMOB	Aftersales-Booking Info	Information about my flight										22/08/2013	Alicia Price
bg253	What should I do if I can't enter my immigration information using the link sent to me?	"api, apis"	"If you've not completed these details, we'll send you a reminder approximately three days before your departure. If your booking is with British Airways, you can then log on to BA.com and select 'Manage My Booking', which lets you complete these details online. For any other airline, please call us on 0344 49 333 49."		GBMOB;GBWEB	Aftersales-Booking Info	Passport-Visa-health Information										13/06/2014	Alicia Price
bg255	"Can I request extras for my car hire booking, such as snow chains, car seats, satellite navigation etc.?"	special requests	"Yes, we can request extras for you. Please call us on 0344 49 333 99, as we'll need to check directly with Avis for up-to-date availabillity, and we'll be happy to help.  If there is any charge for a requested item, we'll advise you of the cost and you'll pay locally when you collect your car. "		GBMOB;GBWEB	Aftersales-Booking Info	Passport-Visa-health Information										13/06/2014	Alicia Price
bg252	"If I'm travelling to the USA, will I have to show immigration officials my return ticket?"		"The e-ticket document will suffice. However, if you forget that document, you will need to get it reprinted at the airline's ticket desk at the airport."		GBMOB;GBWEB;ZAWEB;ZAMOB	Aftersales-Booking Info	Passport-Visa-health Information										24/03/2015	Alicia Price
qed306	When will I receive my documents from Avios?	"travel documents, booking confirmation, invoice, receipt details"	"Most documentation can be sent by email, which will arrive within 48 hours. If you'd prefer to have your documents posted to you, please let us know and allow up to 14 days for delivery.For travel on Eurostar and ferries, all you need now is your reference number, which we can give you at the time of booking. Your tickets or boarding passes will be issued at check-in.If you have booked a package holiday or cruise with a third party tour operator through us, we will send your invoice within 14 days. Your remaining travel documents will be sent 10-14 days prior to travel.If you haven't received your documentation from us, or if you would like us to resend anything, please contact us."		GBMOB;GBWEB	Aftersales-Booking Info	I have not received my documents										16/02/2016	Alicia Price
bg223	Can you resend my booking confirmation?	"travel itinerary, documentation, confirm, documents, docs, itinerary, details, ticket, tickets"	"Yes, please click here to use our Live Chat service and we'll resend your documents as soon as possible. If you are travelling within the next 48 hours, please call us on 0344 49 333 99 instead. We're open 7 days a week, from 8am - 8pm Monday to Friday, 9am - 5pm Saturday and 10am - 4pm Sunday. You can now tweet us @AviosUK"		GBMOB;GBWEB	Aftersales-Booking Info	I have not received my documents										01/07/2015	Emma Simpson
za130	What is my baggage allowance?	"baggage, bag, bags, luggage, charge, allowance, included, sporting, instrument, golf, carriage, bicycles, equipment, bike, bicycle, pram, pushchair, buggy, skis, clubs, golf clubs, 1pc"	"A guide of your baggage allowances for bookings made using Avios are in the table below. Allowance stated is for an adult traveller, flying to/from Europe.Please contact the airline you're travelling with for confirmation of your baggage allowance and dimensions, as well as for further information relating to any sporting goods, musical instruments or other special items. You'll also find details of your baggage allowance in your travel documentation. Your documents may say '1PC', which simply means 1 piece, or 1 bag, of luggage.AirlineEconomyPremium EconomyBusinessFirst ClassBA1 bag, 23kg per bag2 bags, 23kg per bag2 bags, 32kg per bag3 bags, 32kg per bagBA CityFlyer1 bag, 23kg per bagN/A2 bags, 32kg per bagN/AIberia1 bag, 23kg per bagN/A2 bags, 32kg per bagN/AAir Nostrum 1 bag, 23kg per bagN/A2 bags, 32kg per bagN/AOpen Skies 1 bag, 23kg per bag 2 bags, 23kg per bag 3 bags, 23kg per bag N/AOpen Skies 1 bag, 23kg per bag 2 bags, 23kg per bag 3 bags, 23kg per bag N/AAmerican Airlines 1 bag, 23kg per bag N/A N/A N/AAer Lingus1 bag, 20kg per bag N/A N/A N/AAurigny*1 bag, 20kg per bag N/A N/A N/AFlybe1 bag, 20kg per bag N/A N/A N/AAir Malta**1 bag, 20kg per bag N/A N/A N/AMonarch**1 bag, 20kg per bag N/A N/A N/A* Route exclusions apply. **If opted for at time of booking.Baggage allowances are subject to change, for the latest information please refer to your airline. "		GBMOB;GBWEB;ZAWEB;ZAMOB	Aftersales-Booking Info	Information about my flight										05/02/2014	
za131	How do I change my online password?		"To help keep your account safe, we recommend updating your password regularly. Login to your account and go to the security details page to change your passwordIf you've forgotten your password and are unable to access your account, you can reset your password here."		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										16/02/2016	Alicia Price
bg262	"What happens if I return the purchased product, will I lose my Avios?"	"refunded, reimbursed, refund, estore, shopping, returned, merchandise"	"If you return an item and get a refund, you won't be eligible for Avios on that particular purchase. If you have returned part of your order you will receive the applicable amount of Avios onto your account. "		GBMOB;GBWEB	Avios Website Assistance	Other										18/09/2014	Emma Simpson
bg232	What is your cookie policy?		"To fully access all the features on the site, you must enable 'cookies' in your browser. Read our cookie policy."		GBMOB;GBWEB	Avios Website Assistance	Other										16/02/2016	Alicia Price
bg10	"Why does the Avios website say my account is locked, and what should I do?"		This happens when some of the information you are entering doesn't match our records. You can wait 30 minutes and try again or  get in touch and we'll help you get online.		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										16/02/2016	Alicia Price
bg231	I can't access some of the retailer links. What should I do?		"If you find that a link or retailer site doesn't work, it is likely that you have a piece of software controlling the sites you can visit. To solve this problem:Please disable your Ad Blocking/Popup Blocking/Cookie Blocking software (you might need to close your browser and re-start after you switch off your blocking software).If you are using Internet Explorer 6 or another browser which has a privacy setting, set the privacy setting to low.If you have Zone Alarm Pro or Norton Internet security, these products have ad-blocking and cookie-blocking features. You do not need to disable your firewall, just disable the cookie-blocking and ad-blocking feature for this website.You may also need to delete old temporary Internet files and cookies. You can do this via your browser's settings menu."		GBMOB;GBWEB	Avios Website Assistance	Other										16/02/2016	Alicia Price
za135	Can I change my security details or username?		"Absolutely, just log in to your account on our website, hover over 'My Account' and click 'Your security details', then make the changes you want.If you need any help accessing your Avios account online, click here to contact us via our Live Chat service and we'll be happy to help. We're open Monday to Friday, 8am - 6.30pm. Saturday, Sunday and bank holidays: 9am - 1pm.If you'd prefer to contact us by telephone or email, please click here."		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										26/03/2015	Alicia Price
za165	How do I set up my account online?	"register on-line username password create setup login log online join new member account registration
"	"You can register your existing account online by clicking here. All you'll need is your membership number and a few security details. Once you've set up your username and password, you'll be able to check your balance and book your flights on our website.  If you haven't already got an Avios membership card or account with us, you can join us online here. "		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										06/03/2014	
qed096	How do I set up my account online?	"register on-line username password create setup login log online join new member account registration
"	"You can set up your existing account for use online. All you'll need is your membership number and a few security details. You will choose your own username and password. Once your account is set up online, you'll be able to check your balance, use the eStore, book flights and much much more.You can also join Avios as a new member on our website by clicking here. "		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										06/03/2014	
bg228	"I've forgotten my username / password, can you tell me it?"	"account, login, log in, in, logging in, access, online, user name, airmiles account, reset, forgotten, details, lost, sign, resetting, security"	"Need to find your username? Just tell us your registered email address or Avios membership number and we'll send a reminder of your username.Don't know your password? We can send you a link to reset your password.Once you've logged in we recommend updating your username to your email address so it's easier to rememberIf your email address isn't recognised and you already have an account with us, it may be that you haven't set up your username and password with us yet. To register your Avios account for use online and create your own username and password, please click here.Household accountsIf you have a Household account with us, please use your personal membership number (as shown on your membership card or any email we've sent you), as Household account numbers can't be used online.If you need any help finding your personal membership number or if you've forgotten the answers to your security questions (required to reset your password), please click here to see all the ways to get in touch with us."		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										04/07/2016	Alicia Price
bg229	Can I change my security details or username?	sec questions birth forgotten memorable remember	"Absolutely, just log in to your account on our website, hover over 'My Account' and click 'Your security details', then make the changes you want.We recommend updating your username to your email address so it's easier to rememberIf you need any help accessing your Avios account online, click here to contact us via our Live Chat service and we'll be happy to help. We're open from 8am - 8pm Monday to Friday, 9am - 5pm Saturday and 10am - 4pm Sunday.If you'd prefer to contact us by telephone or email, please click here."		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										04/07/2016	Alicia Price
qed328	Is there a fee to join the Avios Travel Rewards Programme?	"join, fee"	"No, there is no joining fee to join the Avios Travel Rewards Programme."		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										21/05/2014	Alicia Price
bg224	What does the 'remember me' tick box do?		"If you use a public or shared computer, we recommend you do not select the 'remember me' option for security reasons, so other people will not be able to see your username if they visit www.avios.com after you or click the back button on the browser.  When you have finished your visit, make sure you sign out by selecting the 'log out' option in the main menu. This will delete all personal information from the computer."		GBMOB;GBWEB;ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										03/09/2013	Alicia Price
za136	"I am trying to set up my account online, but it says my account is already registered?"		We may already have an account set up online for you. You'll just need to contact us and we'll help you get back online.		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										22/08/2013	Alicia Price
za137	"Why does the Avios website say my account is locked, and what should I do?"		This happens when some of the information you're entering doesn't match our records. You can wait 30 minutes and try again or get in touch with us and we'll help you get online.		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										22/08/2013	Alicia Price
bg226	How do I change my online password?		"To help keep your account safe, we recommend updating your password regularly. To update your password, log in to your account and hold your mouse over the 'My Account' heading. From here, select the option that says 'Security details'. In this section, you'll see a space to enter your new password. You'll need to re-enter your existing password a little further down the page, before clicking on 'Save Changes'. Remember, your password is case sensitive.If you've forgotten your password and are unable to access your account, you can reset your password. Enter your username, email address or personal membership number and we'll send you an email with a link to change your password, without you needing to log in to your account first.If you have a Household account with us, please only enter your username or individual membership number, as your email address will be shared with all members on your Household account."		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										19/11/2013	
bg261	Why can't I log in using my Household account number?		"To log into our website, you'll use the username you originally set up with us, rather than a membership number. If you've forgotten either your username or password, please click here and enter your personal membership number (this is different to your household account number). If you don't know your personal membership number, we'll be happy to get it for you. Please get in touch with us. "		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										19/11/2013	
za140	"I've forgotten my username / password, can you tell me it?"	login log online account logging security	"If you've misplaced your username or password click here and click 'Forgotten username?' or 'Forgotten password?', fill in your details and we'll send you a reminder email.If you need any help recovering your details, please contact us and we'll be happy to help. "		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										29/01/2014	
bg11	Can I collect Avios directly from a retailer's site?	estore online shopping bought already	"To collect Avios while shopping online, you must go to the retailer's site via our Avios eStore. If you visit a retailer's site directly, without having first logged into the Avios website and clicked through from our eStore, we will be unable to track your purchases and add your Avios to your account."		GBMOB;GBWEB	Avios Website Assistance	Other										12/04/2016	Matthew Brown
bg260	"I am trying to set up my account online, but it says my account is already registered?"		"We may already have an account set up for you.To see if your account has been registered online, please click here and enter your email address to recover your details. If a username and password have previously been registered to your email, we'll then send you an email with a reminder of your username and a link to reset your password.If your email address isn't recognised, this usually means that although you do already have an account with us, it hasn't yet been registered online. If you know your membership number, please click here to set up your username and password. If you need any help locating your account details or accessing your Avios account online, please get in touch with us."		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										19/11/2013	
qed312	I'm getting an error message whilst using your website. What should I do?	"error system 404 http cookies browser work useless broken safari firefox app mobile chrome internet settings system systems setting java javascript website site web connect connection server
"	"Try the steps below. These resolve most connection and compatibility errors. If you still get error messages after following these steps, please get in touch with us by clicking the 'Still need help' link below.Ensure you have the latest version of your browserJavaScript is enabledDisable any pop-ups or advert blockers, as these can stop some parts of our website from working properly.If there's a major issue with our website that is affecting all users, we'll do our best to notify you via an onscreen message and/or our Facebook and Twitter channels.Not all features and functions will be available at all times on our mobile devices. If you're encountering any problems on your mobile device, please switch to our full site.If you still need help, please click here. "		GBMOB;GBWEB;ZAWEB;ZAMOB	Avios Website Assistance	Other										16/02/2016	Alicia Price
za139	Can I set up my account online with my existing Avios number?	already 	"If you're an existing Avios member and wish to set up your Avios account online, please click hereYou'll then be asked to answer some security questions to help establish your identity before setting up your account online."		ZAWEB;ZAMOB	Avios Website Assistance	Account-username-password information										16/02/2016	Alicia Price
bg225	Can I set up my account online with my existing Avios number?	already	"If you're an existing Avios member and wish to set up your Avios account online, please click here.You'll then be asked to answer some security questions to help establish your identity before setting up your account online."		GBMOB;GBWEB	Avios Website Assistance	Account-username-password information										16/02/2016	Alicia Price
qed366	How much will I collect if I've booked a flight before 28 April?		"Bookings made up to and including 27 April 2015 will collect Avios based on the old collection rates. Bookings made on or after 28 April, our new collection rules apply."		GBMOB;GBWEB;ZAWEB;ZAMOB	Collection Information	Collection Query										27/04/2015	Alicia Price
qed269	How many Avios can I collect with TSB?		"You can collect Avios with the TSB Avios credit card. You can earn:1 Avios per £1 spent on a TSB Avios American Express® Card*1 Avios per £5 spent on a TSB Avios MasterCard® Card*Click here if you're collecting on a Premier cardWhen you've opened your TSB card account, TSB will automatically link your credit cards with your Avios account. They'll find your account using your name and address, if you've not got an account with us they'll set you one up. You'll start to receive Avios 14 days after your first statement. *Eligible purchases do not include cash withdrawals, money transfers, cheques, interest, fees or charges, transactions at casinos, betting outlets or bookmakers or payments to offline or online current , savings, sharetrading, spread betting, gambling or any other similar account."		GBMOB;GBWEB	Collection Information	Collection Opportunities										04/11/2013	Alicia Price
za106	I thought I was collecting Avios - why aren't they showing on my account?	missing received credited lost	"The Avios you've collected recently may not have reached your account yet. It can take up to 35 days for Avios to reach your account depending on who you're collecting with. If your Avios aren't in your account after 35 days, click here to find out how to query your missing Avios. You can check your balance and transactions in 'My Account'."		ZAWEB;ZAMOB	Collection Information	Collection Query										14/01/2014	
qed364	How has the way I collect Avios on flights change?	"collect, flights"	"You can collect Avios for cash tickets booked on British Airways and Iberia flights based on the distance you fly, cabin class and fare type. For example, if you pay for a flexible ticket you will collect more Avios than the lowest priced ticket in the same cabin. Find out more"		ZAWEB;ZAMOB	Collection Information	Collection Query										27/04/2015	Alicia Price
qed258	Can I collect Avios on my foreign currency with Moneycorp?	travelmoney	It is no longer possible to collect Avios at Moneycorp bureaus. However you can collect Avios by ordering at Avios Cash Passport		GBMOB;GBWEB	Collection Information	Collection Query										29/02/2016	Matthew Brown
qed400	Can I collect Avios on my foreign currency with American Express?	travelmoney	It is no longer possible to collect Avios through American Express Currency Exchange. However you can collect Avios by ordering at Avios Cash Passport		GBMOB;GBWEB	Collection Information	Collection Query										29/02/2016	Matthew Brown
qed270	How much can I collect with my TSB Premier Avios Credit Card Account?		"You can get:1.25 Avios per £1 spent on a TSB Premier Avios American Express® Card*1.25 Avios per £5 spent on a TSB Premier Avios MasterCard® Card*You earn more Avios when using yourAmerican Express card, but just in case a store doesn't accept American Expresswe've given you a MasterCard so you can still earn Avios.*Eligible purchases do not include cash withdrawals, money transfers, cheques,interest, fees or charges, transactions at casinos, betting outlets orbookmakers or payments to offline or online current , savings, sharetrading,spread betting, gambling or any other similar account."		GBMOB;GBWEB	Collection Information	Collection Opportunities										04/11/2013	Alicia Price
qed344	Will I still collect Avios if I use Avios as part payment when I book my flight directly with British Airways?		"Yes, you'll still collect 1 Avios for everymile you fly."		GBMOB;GBWEB	Collection Information	Collection Query										20/04/2015	Alicia Price
qed316	What do I do if I’ve forgotten my PIN for my Avios Cash Passport?	avios cash passport	You should call 0800 015 0401 and follow the automated prompts.		GBMOB;GBWEB	Collection Information	Collection Query										18/09/2014	Emma Simpson
qed144	Which airlines can I collect with?	flights flying flown fly oneworld world quantas qantas emirates virgin cathay ba iberia british airways airline collect ethiad lufthansa klm iag earn affiliate affiliates lingus flybe calculate calculator	You can earn up to 1 Avios for every 1 mile flown when you book cash flights directly with British Airways or Iberia. Or up to 4 Avios for every £1 you spend on Flybe flights.To collect Avios just add your Member ID (that's digits 7 - 15 of your membership number) to your booking.You can also add your member ID to existing flight bookings or make a retrospective claim. Find out more about collecting with the individual airlines on the links below.		GBMOB;GBWEB	Collection Information	Collection Opportunities										10/11/2014	Alicia Price
za88	Will my smartshopper points be turned into Avios automatically?		"You'll need to pre-link your smartshopper card with your Avios account to be able to switch your points. Please allow up to 5 days before switching your smartshopper points at any Pick n Pay kiosk. You'll need a minimum of 800 smartshopper points to do this. Smartshopper points can be exchanged for Avios in bundles of 800, 1600, 2400 and 3200. Please link your card here. "		ZAWEB;ZAMOB	Collection Information	Collection Query										18/09/2014	Emma Simpson
qed290	When will I get my upgrade voucher?		"You'll receive your Upgrade Voucher when your spend in one year reaches £7,000 on your Avios Rewards Credit Card or £5,000 for the Premier Card.  Your voucher will be applied to your account within 28 days of reaching your qualifying spend. "		GBMOB;GBWEB	Collection Information	Collection Query										18/09/2014	Emma Simpson
qed124	Where can I use Avios Cash Passport?		"You can use your Card to withdraw money at ATMs worldwide displaying the MasterCard Acceptance Mark. Alternatively, you can use the Card to pay directly for goods or services at merchants worldwide that accept MasterCard. No matter which currency you purchase, Cash Passport can still be used worldwide. For example, if you purchase Euros on your Multi-currency Cash Passport, you can still use it at ATMs in America, but the balance in Euros will attract a currency conversion from Euros to US Dollars. Please note: There are a number of countries where the use of Cash Passport is not allowed as they are subject to US economic sanctions. If you attempt to use your card in any of these countries, your request will be declined and the reason given as 'Decline, prohibited country'. The countries currently affected by sanctions are: Myanmar (Burma)CubaIranSudanOther sanctions/restrictions may apply - please refer to the H.M. Treasury website for more details. You can also use your Cash Passport to shop online (within the limits and restrictions of your card) at any retailer who accepts MasterCard cards. For your security you may be asked to provide the security code that's printed on the signature strip on the back of the Card. The Card may not be used for money transfers or for accessing or purchasing goods from adult or gambling internet sites and must not be used for any unlawful activity. You must comply with all laws and regulations (including any foreign exchange controls) in respect of the Card, in the country of purchase and/or use. "		GBMOB;GBWEB	Collection Information	Collection Opportunities										23/04/2014	Alicia Price
qed315	"When my Avios Cash Passport expires, what do I do?"		"You should use up any remaining funds on your Avios Cash Passport before 30 September 2014 at merchants and ATMs until the balance reaches zero. Alternatively, you can cash out your Avios Cash Passport at any time, by calling the Avios Cash Passport Service Centre on 0800 015 0401, to arrange for the balance to be transferred to your bank account. We will not charge a cash-out fee for this service. Please note it may take up to 10 working days for the funds to appear in your account. If you have an Avios Multi-currency Cash Passport, we'll automatically send you a new card with all your current funds transferred onto it once your existing card expires. "		GBMOB;GBWEB	Collection Information	Collection Query										23/04/2014	Alicia Price
qed249	Can I exchange Clubcard vouchers for Avios?	tesco	"You can pick up Avios using your Tesco Clubcard. You'll earn 600 Avios for every £2.50 voucher you exchange. Just pick Avios as your reward when you exchange your Tesco Clubcard vouchers and we'll add your Avios to your account. To find out more, have a look at our Tesco page."		GBMOB;GBWEB	Collection Information	Collection Query										18/07/2014	Emma Simpson
qed243	How do I collect Avios at Tesco?		"You need a Tesco Clubcard (you can get one in store). Scan it every time you shop and you'll collect Clubcard points, which Tesco turn into Clubcard vouchers. Tesco send you your vouchers in the post - when you get them, you can exchange them for Avios online (see how on our Tesco page) or by post, filling in the order form and sending it with your vouchers to the address given."		GBMOB;GBWEB	Collection Information	Collection Opportunities										16/02/2016	Alicia Price
bg61	How many Avios can I collect  when I book a holiday?		"You'll get up to 5 Avios for every £1 spent on holidays with over 40 of the UK's favourite holiday companies from Thomson to Kuoni.  You must book your holiday via our Customer Contact Centre in order to collect Avios. For quotes or to book, please call us on 0844 49 333 49. Your Avios are added to your account 28 days after your holiday. To find out more about collecting Avios on your holiday and to see which holiday companies you can book with, visit our Holidays page. "		GBMOB;GBWEB	Collection Information	Travel										12/10/2015	Alicia Price
qed253	Can I exchange my Tesco Clubcard vouchers by post?		"Yes. You must attach them to the order form they send with the vouchers and post it directly to Tesco. We strongly recommend you use registered or recorded delivery. Alternatively, you can exchange your Tesco vouchers online - see how on our Tesco page."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
bg62	How many Avios can I collect when I book a cruise?		"You'll get up to 5 Avios for every £1 spent on cruises with leading names like Royal Caribbean and Cunard. To collect Avios, you must book your cruise via our Customer Contact Centre on 0844 49 333 49. Your Avios are added to your account 28 days after your holiday. To see all the cruise companies you can collect Avios with, visit our Cruise collection page. "		GBMOB;GBWEB	Collection Information	Travel										12/10/2015	Alicia Price
qed255	Will my Tesco Clubcard points still be turned into Avios automatically?		"If you've chosen to have your Tesco Clubcard points turned into Avios automatically instead of getting vouchers and exchanging them yourself - we'll sort everything out for you. If you're not already opted in to have your Avios automatically awarded by Tesco just update your preferences at www.tesco.com/clubcard.If you'd rather exchange your Tesco Clubcard points manually each time, by getting Clubcard vouchers and going online, please visit the My Clubcard Account section of www.tesco.com/clubcard."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
qed046	How many Avios can I collect on my foreign exchange?		You'll collect 1 Avios for every £1 spent on foreign currency at any American Express bureau de change at Birmingham airport or online at travelmoneynow.com/aviosYou can also collect 1 Avios for every £1 you load onto an Avios Multi-currency Cash Passport		GBMOB;GBWEB	Collection Information	Collection Opportunities										16/02/2016	Alicia Price
qed105	What do I do if I find an incorrect transaction on my Avios Cash Passport Card?		You'll need to download and complete a Dispute Form at www.multicurrencycashpassport.com/avios		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
bg73	Will I get Avios on the cruise I've already booked?		"If you booked your cruise directly with ourselves and decided to collect Avios, rather than spend them, your Avios will be added to your account within 28 days of your return journey. To find out more about collecting Avios on cruises, visit our Cruise page here.If you've already booked a cruise with another travel agency, we wouldn't be able to give you any Avios on this occasion, as your cruise must be booked with us by calling 0844 49 333 49 in order to collect Avios."		GBMOB;GBWEB	Collection Information	Travel										11/12/2013	
bg155	Can I collect Avios in more than one place and have them go into the same account?	dupe duplicate link	"Yes. Your Avios should end up in the same account, as each partner will use the existing information they have for you and add this to your existing account.If you have more than one Avios account in the same name, please contact us and we'll merge the accounts for you.(Please note, you can only merge your accounts if the name on the two accounts match exactly)."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
qed199	How many Avios can I collect with Shell?	"petrol, fuel, v power,"	"You'll get 10 Avios for every 20 litres of Shell fuel when you swipe your Shell Drivers' Club card.If you have a Shell V-Power Card, you'll get twice the Shell Drivers' Club points of the standard Shell Drivers' Club - collecting 10 Avios for every 10 litres of Shell V-Power fuel when you swipe your card.If you've not registered your card yet, go to www.shell.co.uk/driversclub and choose Avios as your reward.If you have a Shell V-Power Card, you'll get twice the Shell Drivers' Club points of the standard Shell Drivers' Club - collecting 20 Avios for every 20 litres of Shell V-Power fuel when you swipe your card. It's not just fuel where you can collect Avios. You can also collect Avios on:Motoring productsCollect 1 Avios for every £1 spent on the full range of Shell Helix and high-performance oils and lubricants.Car washCollect Avios when you wash your car. Get 15 Avios on the Shell Super Shine Jet Wash and 25 Avios on the Shell Super Shine Car Wash."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
qed346	How do I collect with Zipcar?		"When you take out an annual membership with Zipcar you\'ll receive 1,000 Avios. You\'ll also receive 50 Avios every time you book a car or vehicle with Zipcar. You can reserve a vehicle by the hour, day or week, and book online or on your mobile."		GBMOB;GBWEB	Collection Information	Collection Opportunities										04/09/2014	Alicia Price
qed250	How many Avios can I get when my Tesco Clubcard points are exchanged automatically for me?		"You'll get 600 Avios for every 250 Tesco Clubcard points on a quarterly basis.If you'd rather exchange your points manually online each time, please visit the My Clubcard Account section of www.tesco.com/clubcard."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
bg72	Will I get Avios on the holiday I've already booked?	tour operator	"If you booked your holiday directly with ourselves and decided to collect Avios, rather than spend them, your Avios will be added to your account within 28 days of your return journey. To find out more about collecting Avios on holidays, visit our Holiday page here.If you've already booked a holiday with another travel agency, we wouldn't be able to give you any Avios on this occasion, as your holiday must be booked with us on 0844 49 333 49 in order to collect Avios.To find out more about collecting Avios on flights, please visit our Collect on Flights page. "		GBMOB;GBWEB	Collection Information	Travel										11/12/2013	
qed348	How do I collect with Rewards for Thoughts?	"collect, rewards for thoughts, surveys"	Sign up to Rewards for Thoughts online at www.rewardsforthoughts.co.uk and start collecting Avios for every survey you complete. Collect 600 Avios for registering and completing your first survey.Visit the Avios Rewards for Thoughts page to find out more.		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
za81	Can I collect Avios on everything I buy at Pick n Pay?		"You can exchange all your smartshopper points for Avios. Smartshopper points are awarded for everything you buy in store, except fuel, tobacco and tobacco-related products, Pick n Pay Gift cards and top up, money transfers, prescription pharmaceutical goods and third party services and payments. Transactions through SAA and bus tickets, multichoice, traffic fines, splash out, mall cards and pension payments."		ZAWEB;ZAMOB	Collection Information	Collection Query										18/07/2014	Emma Simpson
qed039	Can I collect Avios with Bupa?		"Unfortunately the Avios Bupa partnership is no longer available to new customers. If you started collecting before 31 August 2013, you'll still earn Avios until the end of your second year.  Any queries realting to your existing policy, please call 0845 609 0777. "		GBMOB;GBWEB	Collection Information	Collection Query										18/07/2014	Emma Simpson
qed242	How much can I collect with Tesco?	tescos	"You can collect 600 Avios for every £2.50 in Tesco Clubcard vouchers. To find out how to exchange your Clubcard vouchers for Avios, visit our Tesco page here. We often have special collection offers, so check back regularly."		GBMOB;GBWEB	Collection Information	Collection Opportunities										11/12/2013	
qed103	What if my Avios Cash Passport is lost or stolen?		"If your Avios Multi-currency Cash Passport is lost, stolen or damaged, contact Card Services immediately, so they can cancel it and offer further assistance, including a free replacement card or emergency cash replacement up to the available balance on your card (subject to availability in the relevant location). Rest assured, your balance is chip and PIN protected and if you have an additional card, you can still access your funds with the additional card. Please click here for their contact details."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
za86	Can I exchange smartshopper points I already have for Avios?		"Yes, you can collect 1 Avios for every 8 smartshopper points you switch.  You'll need a minimum of 800 smartshopper points to do this. You can switch for Avios at a Pick n Pay kiosk. You'll need to pre-link your smartshopper card with your Avios account to be able to switch your points. These points can be exchanged for Avios in bundles of 800, 1600, 2400 and 3200. Please link your card here. "		ZAWEB;ZAMOB	Collection Information	Collection Query										18/07/2014	Emma Simpson
qed317	Who do I call with questions about my Avios Cash Passport?		"If you have any questions about your Avios Cash Passport, please call the number on the back of your card or click here for their contact details."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
za96	How do I activate my BP Avios card?	activating register link activation code	"You can click here to activate your BP card on our website.If you're a new member to Avios, click the orange button that says 'Join and Activate your Card'. If you already have a username and password for your Avios account, then please click the green button that says 'Activate your Card'.Once your card has been activated, your Avios will reach your account within 30 days. "		ZAWEB;ZAMOB	Collection Information	Collection Query										19/02/2014	
qed349	Can I collect Tier points with the Avios Travel Rewards Programme?	earn BA IB frequent flyer tier eligible	"Tier points are a part of the British Airways Executive Club and aren't part of the Avios Travel Rewards Programme. The Executive Club is a frequent flyer scheme operated by British Airways which also offers its members the opportunity to collect Avios. If you would like to collect Tier points and Avios with the British Airways Executive Club, you will need to enter your Executive Club account number to your flight booking instead of your Avios Member ID. The Avios you collect from your flight will then be credited to your account with the British Airways Executive Club and you will earn Tier points in line with their terms and conditions. To access your Executive Club account, or if you'd like to find out more about the scheme, please visit ba.com/executiveclub."		GBMOB;GBWEB	Collection Information	Collection Query										16/02/2016	Alicia Price
qed272	Can I collect with my TSB Premier Avios Credit Card Account?		"You can collect Avios with a TSB Premier Avios Credit Card Account, getting up to 1.25 Avios for every £1 spent.To start collecting just  sign up for the TSB Premier credit card, Lloyds will automatically open an account for you or link the card to the account you already have with us. Avios will be awarded monthly around 14 days after you have received your statement."		GBMOB;GBWEB	Collection Information	Collection Opportunities										16/02/2016	Alicia Price
